Calculated_Sales,Is Duplicate Row?,Order_ID,Customer_ID,Customer_Name,Email,Country,City,Order_Date,Ship_Date,Product_Category,Quantity,Unit_Price,Unit_Price_Fixed,Discount,Sales,Age,Customer_Segment,Satisfaction_Score,Payment_Method,Notes
154.672,Unique,O1015,C017,Emma Wilson,emma.wilson@example.com,GERMANY,Karlsruhe,22-04-2026,27.04.2026,Office Supplies,7,27.62,27.62,0.2,154.67,75,HOME OFFICE,,bank transfer,missing phone
89.2,Unique,O1080,C046,TOM BROWN,tom.brown@example.com,Netherlands,,01-12-2026,18/01/2026,Furniture,1,111.5,111.5,0.2,89.2,36,CORPORATE,3,Bank Transfer,check address
389.52,Unique,O1079,C047,John Doe,john.doe@example.com,GERMANY,Mannheim,01-06-2026,2026/01/10,Furniture,4,129.84,129.84,0.25,389.52,64,CONSUMER,4,credit card,ok
2151.163,Unique,O1020,C055,Nina Weber,nina.weber@example.com,Netherlands,Rotterdam,08-04-2026,04-15-2026,OFFICE SUPPLIES,7,361.54,361.54,0.15,2151.16,30,CONSUMER,4,Credit Card,ok
1001.4075,Unique,O1076,C044,Anna Müller,anna.muller@example.com,España,Barcelona,21-03-2026,03-22-2026,electronics,3,445.07,445.07,0.25,1001.41,51,HOME OFFICE,,Unknown,check address
2604.128,Unique,O1018,C049,MEHDI KARIMI,mehdi.karimi@example.com,Netherlands,Amsterdam,28-01-2026,03/02/2026,Home,8,382.96,382.96,0.15,2604.13,58,CORPORATE,3,Unknown,missing phone
423.288,Unique,O1066,C021,mehdi karimi,mehdi.karimi@example.com,Italy,Milan,30-03-2026,04-05-2026,Office Supplies,4,117.58,117.58,0.1,423.29,76,CONSUMER,2,PayPal,check address
1739.4,Unique,O1093,C009,Luca Bianchi,luca.bianchi@example.com,Italy,Rome,06-03-2026,16.03.2026,electronics,10,231.92,231.92,0.25,1739.4,42,UNKNOWN,3,PAYPAL,
1484.208,Unique,O1042,C051,john doe,,Italy,Naples,,03-24-2026,furniture,9,206.14,206.14,0.2,1484.21,22,CORPORATE,5,Credit Card,check address
344.165,Unique,O1089,C029,Julia Fischer,julia.fischer@example.com,España,Madrid,07-04-2026,2026/04/13,OFFICE SUPPLIES,10,"40,49",40.49,0.15,344.17,61,CORPORATE,4,Bank Transfer,urgent
2217.072,Unique,O1065,C006,luca bianchi,,GERMANY,Karlsruhe,09-03-2026,2026/03/19,office supplies,8,€291.72,291.72,0.05,2217.07,67,CORPORATE,4,Unknown,return risk
1912.92,Unique,O1019,C049,Emma Wilson,,GERMANY,Mannheim,03-12-2026,20/03/2026,Electronics,5,402.72,402.72,0.05,1912.92,30,CONSUMER,2,Cash,return risk
1773.112,Unique,O1051,C039,Carlos Garcia,carlos.garcia@example.com,España,Madrid,16-01-2026,01-23-2026,Office Supplies,11,201.49,201.49,0.2,1773.11,55,CONSUMER,3,bank transfer,
1241.27,Unique,O1037,C050,LAURA ROSSI,laura.rossi@example.com,Italy,Milan,08-05-2026,2026/05/12,ELECTRONICS,4,326.65,326.65,0.05,1241.27,56,CONSUMER,1,Bank Transfer,missing phone
101.92,Unique,O1082,C014,nina weber,nina.weber@example.com,France,paris,26-04-2026,2026/05/01,Furniture,5,25.48,25.48,0.2,101.92,62,CONSUMER,2,credit card,
1966.671,Unique,O1003,C014,Carlos Garcia,carlos.garcia@example.com,Italy,Rome,19-01-2026,2026/01/28,Office Supplies,7,312.17,312.17,0.1,1966.67,69,CONSUMER,1,Unknown,check address
3110.184,Unique,O1034,C022,carlos garcia,carlos.garcia@example.com,Netherlands,Amsterdam,,24.04.2026,OFFICE SUPPLIES,11,353.43,353.43,0.2,3110.18,60,UNKNOWN,3,Credit Card,urgent
662.8625,Unique,O1071,C035,Marie Dubois,marie.dubois@example.com,France,paris,03-09-2026,18/03/2026,electronics,5,139.55,139.55,0.05,662.86,60,HOME OFFICE,3,Cash,urgent
1568.336,Unique,O1016,C020,Maha Zadeh,maha.zadeh@example.com,Italy,Rome,14-04-2026,18/04/2026,OFFICE SUPPLIES,7,280.06,280.06,0.2,1568.34,,CORPORATE,3,Unknown,urgent
509.565,Unique,O1024,C035,Peter Schmidt,peter.schmidt@example.com,Italy,Naples,22-04-2026,05-01-2026,furniture,2,339.71,339.71,0.25,509.56,40,HOME OFFICE,3,Bank Transfer,urgent
1252.1,Unique,O1049,C020,Mehdi Karimi,mehdi.karimi@example.com,Italy,Milan,27-03-2026,2026/03/29,OFFICE SUPPLIES,4,329.5,329.5,0.05,1252.1,31,CORPORATE,2,Unknown,ok
378.328,Unique,O1041,C030,laura rossi,,GERMANY,karlsruhe,06-01-2026,06/01/2026,Home,4,99.56,99.56,0.05,378.33,37,CORPORATE,5,PayPal,ok
238.425,Unique,O1085,C049,Luca Bianchi,luca.bianchi@example.com,GERMANY,Karlsruhe,01-03-2026,2026-03-02,furniture,1,€280.50,280.5,0.15,238.42,,HOME OFFICE,5,Bank Transfer,missing phone
822.384,Unique,O1011,C005,Maha Zadeh,maha.zadeh@example.com,GERMANY,Karlsruhe,26-01-2026,27/01/2026,electronics,6,171.33,171.33,0.2,822.38,61,CONSUMER,,Bank Transfer,missing phone
1283.94,Unique,O1091,C018,CARLOS GARCIA,carlos.garcia@example.com,France,Lyon,20-01-2026,25/01/2026,home,10,142.66,142.66,0.1,1283.94,69,CONSUMER,3,Bank Transfer,missing phone
890.46,Unique,O1030,C054,ANNA MÜLLER,anna.muller@example.com,Netherlands,Amsterdam,,2026/01/16,Office Supplies,8,130.95,130.95,0.15,890.46,56,CORPORATE,4,Unknown,ok
480.828,Unique,O1028,C040,Laura Rossi,laura.rossi@example.com,GERMANY,Karlsruhe,26-01-2026,01-29-2026,Furniture,3,188.56,188.56,0.15,480.83,,CORPORATE,3,PAYPAL,missing phone
2413.9215,Unique,O1013,C003,Luca Bianchi,luca.bianchi@example.com,France,Paris,11-01-2026,16/01/2026,Office Supplies,9,€282.33,282.33,0.05,2413.92,71,UNKNOWN,2,Cash,missing phone
25499.9745,Unique,O1075,C040,Julia Fischer,julia.fischer@example.com,Netherlands,Amsterdam,14-04-2026,04-20-2026,Office Supplies,3,"9999,99",9999.99,0.15,25499.97,31,HOME OFFICE,3,PAYPAL,missing phone
1637.24,Unique,O1073,C001,ali reza,ali.reza@example.com,España,Barcelona,02-10-2026,16.02.2026,Electronics,5,409.31,409.31,0.2,1637.24,30,UNKNOWN,1,Cash,ok
1791.9,Unique,O1083,C039,Peter Schmidt,peter.schmidt@example.com,Italy,Milan,03-03-2026,03-11-2026,ELECTRONICS,6,398.2,398.2,0.25,1791.9,46,CONSUMER,2,Bank Transfer,ok
3354.678,Unique,O1033,C019,Ali Reza,,Italy,Milan,05-06-2026,2026/05/08,office supplies,9,392.36,392.36,0.05,3354.68,52,HOME OFFICE,4,PayPal,return risk
203.95,Unique,O1050,C040,Maha Zadeh,maha.zadeh@example.com,France,paris,,2026-03-24,office supplies,5,40.79,40.79,0,203.95,19,CORPORATE,,Credit Card,check address
2747.952,Unique,O1045,C047,Luca Bianchi,luca.bianchi@example.com,GERMANY,Karlsruhe,21-03-2026,2026/03/26,Home,8,381.66,381.66,0.1,2747.95,52,CONSUMER,5,Bank Transfer,missing phone
4125.4,Unique,O1039,C048,anna müller,anna.muller@example.com,Italy,Rome,08-04-2026,2026-04-18,furniture,10,"412,54",412.54,0,4125.4,56,CORPORATE,3,credit card,
1258.332,Unique,O1058,C041,Ali Reza,,GERMANY,karlsruhe,27-03-2026,03-29-2026,Office Supplies,3,441.52,441.52,0.05,1258.33,67,CORPORATE,4,Cash,
349.467,Unique,O1061,C042,ANNA MÜLLER,anna.muller@example.com,France,paris,09-01-2026,18.01.2026,furniture,2,183.93,183.93,0.05,349.47,,HOME OFFICE,2,Unknown,urgent
2339.136,Unique,O1077,C004,marie dubois,marie.dubois@example.com,Netherlands,Amsterdam,10-05-2026,2026/05/13,furniture,9,324.88,324.88,0.2,2339.14,44,HOME OFFICE,5,Credit Card,missing phone
29.595,Unique,O1001,C016,MAHA ZADEH,maha.zadeh@example.com,GERMANY,Mannheim,27-01-2026,not available,office supplies,2,19.73,19.73,0.25,29.59,60,CORPORATE,5,Bank Transfer,ok
2093.108,Unique,O1054,C029,Anna Müller,anna.muller@example.com,España,Valencia,25-04-2026,28/04/2026,ELECTRONICS,8,307.81,307.81,0.15,2093.11,45,UNKNOWN,5,Bank Transfer,check address
1355.94,Unique,O1062,C032,Mehdi Karimi,mehdi.karimi@example.com,GERMANY,Mannheim,19-01-2026,26.01.2026,Furniture,6,251.1,251.1,0.1,1355.94,70,UNKNOWN,,PayPal,
904.52,Unique,O1004,C009,Nina Weber,nina.weber@example.com,GERMANY,Mannheim,18-05-2026,22.05.2026,Home,4,226.13,226.13,0,904.52,25,CORPORATE,4,Credit Card,return risk
101.744,Unique,O1006,C054,CARLOS GARCIA,carlos.garcia@example.com,Italy,Naples,15-01-2026,2026-01-18,Furniture,2,63.59,63.59,0.2,101.74,26,HOME OFFICE,4,Bank Transfer,missing phone
3126.123,Unique,O1081,C048,LAURA ROSSI,laura.rossi@example.com,Netherlands,Rotterdam,,2026-04-28,Electronics,11,315.77,315.77,0.1,3126.12,40,HOME OFFICE,2,Cash,return risk
1371.325,Unique,O1064,C034,Nina Weber,nina.weber@example.com,GERMANY,Heidelberg,11-02-2026,02-16-2026,home,5,288.7,288.7,0.05,1371.33,56,HOME OFFICE,5,bank transfer,ok
1743.9,Unique,O1060,C019,marie dubois,marie.dubois@example.com,France,Paris,,04-22-2026,home,6,290.65,290.65,0,1743.9,20,HOME OFFICE,5,Unknown,ok
501.72,Unique,O1053,C014,Marie Dubois,marie.dubois@example.com,France,paris,05-05-2026,08/05/2026,ELECTRONICS,2,334.48,334.48,0.25,501.72,37,HOME OFFICE,5,Unknown,check address
171.594,Unique,O1031,C003,Laura Rossi,laura.rossi@example.com,España,Madrid,06-03-2026,11.03.2026,OFFICE SUPPLIES,1,190.66,190.66,0.1,171.59,55,CONSUMER,1,Credit Card,return risk
1340.528,Unique,O1057,C041,John Doe,,España,Barcelona,02-06-2026,2026-02-10,Office Supplies,7,"239,38",239.38,0.2,1340.53,50,CORPORATE,5,Credit Card,return risk
593.946,Unique,O1032,C036,Maha Zadeh,maha.zadeh@example.com,GERMANY,Karlsruhe,24-01-2026,27.01.2026,electronics,3,232.92,232.92,0.15,593.95,46,CORPORATE,4,Cash,ok
2219.52,Unique,O1084,C010,Marie Dubois,marie.dubois@example.com,GERMANY,Mannheim,08-04-2026,17.04.2026,Electronics,6,435.2,435.2,0.15,2219.52,45,HOME OFFICE,2,Credit Card,check address
56999.943,Unique,O1014,C011,Julia Fischer,julia.fischer@example.com,Italy,Naples,04-08-2026,08/04/2026,Office Supplies,6,9999.99,9999.99,0.05,56999.94,41,CONSUMER,3,credit card,check address
